SP: Spontaneous Potential,SP,AHSC,AHSF,CPSP,DFSP,EDSP,ELSP,HSP,IASP,IDSP,IXSP,PCH1,RXSP,SP_S,SPA_,SPAR,SPBR,SPC,SPCG,SPD,SPDF,SPDH,SPH,SPLL,SPOT,SPP,SPS,SPSB,SSPK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPHI-LS: Neutron Porosity Limestone,NPLS,CNCL,CNCLS,CNCLSQH,HNPO_LIM,NPOR_LIM,NPORLS,NPRL,POL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPHI-DL: Neutron Porosity Dolomite,CNCD,CNCDL,CNCDLQH,NPDL,NPORDL,NPRD,PORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PZLSS,PZSS,PZSS2,PZSS2QH,PZSSQH,PZSSS,RPDL,RPSS,SSD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DPHI: Density Porosity,POR(DEN),DPRL,DPRD,2DPD,2DPH,2DPS,APSC,APSU,DDPP,DEPO,DNPH,DPD1,DPDL,DPH,DPH8,DPHI,DPHI_,DPHI_DOL,DPHI_LIM,DPHI_SAN,DPHI_SLDT,DPHI_SLDT_HR,DPHID,DPHIL,DPHIS,DPHL,DPHS,DPHZ,DPHZDL,DPHZLS,DPHZSS,DPL1,DPL8,DPLS,DPLZ,DPO,DPOR,DPRS,DPS1,DPS8,DPSS,DPSZ,HDPDL,HDPH,HDPH_DOL,HDPH_LIM,HDPH_SAN,HDPH8,HDPHI,HDPLS,HDPO,HDPSS,HFLC,HFSC,NDPH,PDD,PDL,PDS,POD,POR,PORD,PORL,PORO,PORS,PORZ,PORZ2QH,PORZDL,PORZDL2,PORZDLQH,PORZL2,PORZL2QH,PORZLS,PORZLS2,PORZLSQH,PORZQH,PORZS2,PORZS2QH,PORZSS,PORZSS2,PORZSSQH,PXND,PZCDL,PZCDLQH,PZCDLS,PZCLS,PZCLSQH,PZCLSS,PZCSS,PZCSSQH,PZCSSS,PZDL,PZDL2,PZDL2QH,PZDLQH,PZDLS,PZLS,PZLS2,PZLS2QH,PZLSQH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DPHI-SS: Density Porosity Sandstone,COMP,DPSS,DPD8_S,DPHI_S,DPHI_SAN,DPHZ_S,DPHZSS,DPRS,HDPH_SAN,PDS,PORZS2,PORZS2QH,PORZSS,PORZSSQH,PZSSQH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DPHI-LS: Density Porosity Limestone,DPLS,DPHI_LIM,DPHL,DPHZLS,DPLZ,DPRL,HDPH_LIM,PORL,PORZL2QH,PORZLS,PORZLS2,PORZLSQH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DPHI-DL: Density Porosity Dolomite,DPHI_DOL,DPDL,HDPH_DOL,PORZD2QH,PORZDL,DPHZDL,PORZDLQH,PZDLQH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPHI: Sonic Porosity,BHC-DELT,ACPD,ACPL,ACPS,PORA,RPHI,SPHI,SPSS,TPHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPHI-SS: Sonic Porosity Sandstone,SPSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPHI-LS: Sonic Porosity Limestone,SPLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPHI-DL: Sonic Porosity Dolomite,SPDL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
